Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,Restaurant Type
Boulevards Grill & Bar,78731-3082,3/11/2026,88,3616 Far West Blvd Austin,2802419,Routine Inspection,
Los Pepes Mexican Food,78723-3955,3/11/2026,78,4700 Loyola Ln Ste 115 Austin,10818868,Routine Inspection,
MN - Chokdee Restaurant,78653,3/11/2026,87,11300 E US 290 Hwy WB Manor,11647869,Routine Inspection,
Speedy Stop Store #219,78723-3013,3/11/2026,92,1660 E 51st St Austin,2803642,Routine Inspection,
Kentucky Fried Chicken,78723,3/11/2026,96,7206  ED BLUESTEIN SB BLVD AUSTIN,11789720,Routine Inspection,
Delicious Tamales,78727-4603,3/11/2026,94,1700 W Parmer Ln Ste 620 Austin,12398358,Routine Inspection,
La Posada Mexican Restaurant,78745-4868,3/11/2026,73,6800 West Gate Blvd Ste 143 Austin,10972449,Routine Inspection,
Gluten Freedom Nearby,78751,3/11/2026,94,5610 N IH 35 Svrd Sb Austin,12401508,Routine Inspection,
Fuel Bar,78759-5354,3/11/2026,92,4210 W Braker Ln Austin,12021450,Routine Inspection,
Ember Kitchen,78701-4008,3/11/2026,95,800 W Cesar Chavez St Ste PP110 Austin,12398021,Routine Inspection,
Bakery Lorraine,78758-7976,3/11/2026,90,11600 Rock Rose Ave Unit 100 Austin,12032721,Routine Inspection,
Tiff's Treats,78746-6771,3/11/2026,98,3201 Bee Caves Rd Unit 172 Austin,10352305,Routine Inspection,
Dittmar Recreation Center,78745-6325,3/11/2026,93,1009 W Dittmar Rd Austin,12397427,Routine Inspection,
7-Eleven Convenience Store #36680A,78722-1332,3/11/2026,88,3848 Airport Blvd Austin,11519680,Routine Inspection,
Mom's Taste,78752-3601,3/10/2026,84,6613 Airport Blvd Austin,10000448,Routine Inspection,
Children's Courtyard,78758-3203,3/10/2026,99,11718 Metric Blvd Austin,2801468,Routine Inspection,
McDonald's #11828,78759,3/10/2026,98,10732  RESEARCH SB BLVD AUSTIN,12396013,Routine Inspection,
Twisted K Nutrition,78745-4868,3/10/2026,93,6800 West Gate Blvd Ste 139B Austin,12396535,Routine Inspection,
Dan's Hamburgers,78702-4106,3/10/2026,91,844 Airport Blvd Austin,2800380,Routine Inspection,
Tarka Indian Kitchen,78613-1516,3/10/2026,91,11066 Pecan Park Blvd Ste 500 Cedar Park,11913958,Routine Inspection,
PF - Al Zaytoon,78660-3144,3/10/2026,84,616 FM 685 Ste 104A Pflugerville,12186655,Routine Inspection,
Total Wine & More,78613-1518,3/10/2026,92,11066 Pecan Park Blvd Ste 117 Cedar Park,11409555,Routine Inspection,
Panera Bread #6314,78717-5924,3/10/2026,97,10900 Lakeline Mall Dr Austin,12397777,Routine Inspection,
Cambria Hotel Austin - Uptown Lounge,78727-1324,3/10/2026,93,13205 Burnet Rd Austin,12398081,Routine Inspection,
Starstop 34,78745,3/10/2026,92,4545 S LAMAR NB BLVD AUSTIN,10851843,Routine Inspection,
OOB - Veracruz All Natural #9,78723-3497,3/10/2026,88,1905 Aldrich St Ste 125 Austin,12397996,Routine Inspection,
PF - Papa John's #1127,78660-8052,3/10/2026,81,900 E Pecan St Ste 600 Pflugerville,12392335,Routine Inspection,
Arpeggio Grill,78752-3601,3/10/2026,78,6619 Airport Blvd Austin,10217182,Routine Inspection,
TWIN LION Chinese Restaurant,78759-5618,3/10/2026,72,4815 W Braker Ln Ste 510 Austin,12398026,Routine Inspection,
Paleteria Y Neveria Las Delisias,78757,3/10/2026,88,8120  RESEARCH SB BLVD Unit 109 AUSTIN,2802660,Routine Inspection,
969 Xpress Mart,78724-6262,3/10/2026,72,8602 FM 969 Rd Austin,12185607,Routine Inspection,
7-Eleven Convenience Store #38054A,78758-3147,3/10/2026,92,11800 Metric Blvd Austin,11799285,Routine Inspection,
Circle K Store #2704675,78617,3/10/2026,94,2475 E SH 71 Svrd WB Austin,10762466,Routine Inspection,
E-Z Stop Groceries & Gas / Conoco,78723-5333,3/10/2026,87,5029 Manor Rd Austin,10805076,Routine Inspection,
First Watch Restaurant #362,78717,3/10/2026,97,14005 N US 183 HWY NB SVRD Unit 500 AUSTIN,11734393,Routine Inspection,
McDonald's #22727,78758-2521,3/10/2026,99,12443 Metric Blvd Austin,12398159,Routine Inspection,
PF - Pita-Shack Baiti Food,78660-2977,3/10/2026,79,616 FM 685 Ste A-108 Pflugerville,12392594,Routine Inspection,
Manon's Shared Kitchen,78758,3/10/2026,99,8309  RESEARCH NB BLVD Unit B AUSTIN,12393358,Routine Inspection,
Kinzen By Sarm Pun Mile,78752-1735,3/10/2026,90,1300 E Anderson Ln Apt 1101 Bldg D Austin,12395294,Routine Inspection,
PF - Hiwot Injera,78660-2977,3/10/2026,98,616 FM 685 Ste 110A Pflugerville,12392331,Routine Inspection,
Jack in the Box #912,78723-2908,3/10/2026,97,6540 Ed Bluestein Blvd Austin,10790632,Routine Inspection,
Even Kitchen + Bar,78727-1324,3/10/2026,97,13205 Burnet Rd Bldg 2 Austin,12399713,Routine Inspection,
Antojitos Hondurenos,78754-3804,3/10/2026,84,7901 Cameron Rd Ste 5C Austin,11042912,Routine Inspection,
